Date,Abra_1,Abra_2, Abra_3 , Abra_4 ,Arbok_1,Arbok_2, Arbok_3 , Arbok_4 ,Diglett Media_1,Diglett Media_2, Diglett Media_3 , Diglett Media_4 ,Ivysaur_1,Ivysaur_2, Ivysaur_3 , Ivysaur_4 ,Onix_1,Onix_2, Onix_3 , Onix_4 ,Snorlax_1,Snorlax_2, Snorlax_3 , Snorlax_4 ,Snorlax Tagless_1,Snorlax Tagless_2, Snorlax Tagless_3 , Snorlax Tagless_4 ,SPEAROW_1,SPEAROW_2, SPEAROW_3 , SPEAROW_4 
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number,Valid Number
